"Municipality *","Warrants with 
Law 
Enforcement 
Actions Noted","Issued Warrants 
For Month","Served Warrants 
 For Month","Warrants 
Foreign Served 
For Month"
"Andover","1","0","0","0"
"Ansonia","105","12","18","13"
"Ashford","21","0","0","0"
"Avon","6","2","0","0"
"Barkhamsted","3","0","0","0"
"Beacon Falls","17","1","3","0"
"Berlin","38","4","3","2"
"Bethany","7","0","1","0"
"Bethel","35","10","0","0"
"Bethlehem","5","0","1","1"
"Bloomfield","47","19","8","4"
"Bolton","7","0","0","0"
"Bozrah","0","2","0","0"
"Branford","61","9","2","2"
"Bridgeport","748","162","182","104"
"Bridgewater","4","0","1","0"
"Bristol","160","36","43","14"
"Brookfield","33","4","4","4"
"Brooklyn","24","3","4","3"
"Burlington","4","0","0","0"
"Canaan","1","0","0","0"
"Canterbury","3","0","1","1"
"Canton","9","0","1","0"
"Chaplin","13","0","0","0"
"Cheshire","23","5","7","5"
"Chester","3","0","0","0"
"Clinton","43","3","6","2"
"Colchester","16","2","1","1"
"Colebrook","0","0","2","2"
"Columbia","10","1","0","0"
