"Municipality *","Warrants with 
Law 
Enforcement 
Actions Noted","Issued Warrants 
For Month","Served Warrants 
 For Month","Warrants 
Foreign Served 
For Month"
"Salem","18","1","1","1"
"Salisbury","8","0","0","0"
"Scotland","3","1","0","0"
"Seymour","47","7","7","4"
"Sharon","5","0","0","0"
"Shelton","48","10","9","6"
"Sherman","5","0","0","0"
"Simsbury","22","0","0","0"
"Somers","12","3","6","6"
"South Windsor","16","1","4","4"
"Southbury","18","2","4","3"
"Southington","65","9","11","8"
"Sprague","11","6","1","1"
"Stafford","58","3","16","5"
"Stamford","536","52","49","16"
"Sterling","13","1","4","4"
"Stonington","38","2","11","7"
"Stratford","61","16","18","10"
"Suffield","18","1","1","0"
"Thomaston","9","0","0","0"
"Thompson","41","0","1","1"
"Tolland","30","2","3","2"
"Torrington","172","38","64","35"
"Trumbull","36","3","2","0"
"Union","2","0","0","0"
"Vernon","104","11","18","7"
"Voluntown","6","0","0","0"
"Wallingford","29","7","16","11"
"Warren","0","0","0","0"
"Washington","9","0","0","0"
