"Municipality *","Warrants with 
Law 
Enforcement 
Actions Noted","Issued Warrants 
For Month","Served Warrants 
 For Month","Warrants 
Foreign Served 
For Month"
"Salem","17","0","1","1"
"Salisbury","8","0","2","0"
"Scotland","3","0","0","0"
"Seymour","47","9","3","3"
"Sharon","5","0","2","0"
"Shelton","49","5","11","9"
"Sherman","5","0","2","1"
"Simsbury","22","0","0","0"
"Somers","12","1","3","1"
"South Windsor","18","2","5","5"
"Southbury","17","1","1","0"
"Southington","63","6","6","6"
"Sprague","12","0","3","2"
"Stafford","60","6","9","3"
"Stamford","543","65","62","14"
"Sterling","14","0","0","0"
"Stonington","38","9","4","1"
"Stratford","62","17","22","14"
"Suffield","18","0","3","0"
"Thomaston","9","0","1","1"
"Thompson","42","1","2","1"
"Tolland","28","2","6","3"
"Torrington","179","23","43","21"
"Trumbull","34","0","12","7"
"Union","2","0","0","0"
"Vernon","104","11","22","11"
"Voluntown","6","1","0","0"
"Wallingford","31","18","14","13"
"Warren","0","0","0","0"
"Washington","9","0","0","0"
