"Municipality *","Warrants with 
Law 
Enforcement 
Actions Noted","Issued Warrants 
For Month","Served Warrants 
 For Month","Warrants 
Foreign Served 
For Month"
"Salem","13","2","1","0"
"Salisbury","9","1","0","0"
"Scotland","1","0","0","0"
"Seymour","59","4","9","4"
"Sharon","5","0","1","0"
"Shelton","50","9","6","5"
"Sherman","5","0","2","0"
"Simsbury","21","2","2","2"
"Somers","10","2","2","0"
"South Windsor","20","2","3","2"
"Southbury","15","2","6","6"
"Southington","68","5","8","6"
"Sprague","12","0","10","6"
"Stafford","65","1","3","0"
"Stamford","508","33","34","13"
"Sterling","13","2","0","0"
"Stonington","38","8","2","0"
"Stratford","61","18","23","14"
"Suffield","17","0","1","0"
"Thomaston","10","7","5","4"
"Thompson","46","5","6","0"
"Tolland","27","0","14","13"
"Torrington","193","61","38","16"
"Trumbull","37","3","0","0"
"Union","2","0","0","0"
"Vernon","104","7","19","9"
"Voluntown","6","0","0","0"
"Wallingford","27","6","6","3"
"Warren","0","0","5","2"
"Washington","14","2","0","0"
