"Municipality *","Warrants with 
Law 
Enforcement 
Actions Noted","Issued Warrants 
For Month","Served Warrants 
 For Month","Warrants 
Foreign Served 
For Month"
"Salem","11","1","2","2"
"Salisbury","10","2","2","1"
"Scotland","1","2","1","0"
"Seymour","49","2","5","3"
"Sharon","5","0","0","0"
"Shelton","55","10","12","8"
"Sherman","5","0","0","0"
"Simsbury","21","2","1","1"
"Somers","11","2","0","0"
"South Windsor","22","2","1","1"
"Southbury","16","2","4","3"
"Southington","63","9","30","20"
"Sprague","12","1","2","0"
"Stafford","60","4","5","3"
"Stamford","512","34","46","23"
"Sterling","14","2","2","2"
"Stonington","38","2","2","1"
"Stratford","67","19","24","11"
"Suffield","17","1","2","2"
"Thomaston","10","2","2","0"
"Thompson","47","1","0","0"
"Tolland","28","1","1","1"
"Torrington","196","20","21","10"
"Trumbull","36","4","2","2"
"Union","2","0","0","0"
"Vernon","107","5","17","7"
"Voluntown","6","0","2","2"
"Wallingford","28","3","12","7"
"Warren","0","0","0","0"
"Washington","12","0","0","0"
