"Municipality *","Warrants with 
Law 
Enforcement 
Actions Noted","Issued Warrants 
For Month","Served Warrants 
 For Month","Warrants 
Foreign Served 
For Month"
"Salem","13","0","1","1"
"Salisbury","8","1","5","2"
"Scotland","4","0","0","0"
"Seymour","46","4","9","2"
"Sharon","5","0","0","0"
"Shelton","52","4","16","10"
"Sherman","6","1","0","0"
"Simsbury","25","0","4","3"
"Somers","12","1","0","0"
"South Windsor","20","2","3","2"
"Southbury","16","0","3","2"
"Southington","63","9","6","5"
"Sprague","12","2","1","0"
"Stafford","60","2","4","1"
"Stamford","525","28","21","8"
"Sterling","14","1","3","0"
"Stonington","38","6","3","1"
"Stratford","66","14","19","5"
"Suffield","18","1","2","2"
"Thomaston","11","6","3","1"
"Thompson","42","3","6","0"
"Tolland","28","2","0","0"
"Torrington","190","21","26","9"
"Trumbull","35","4","7","3"
"Union","2","0","0","0"
"Vernon","104","13","18","13"
"Voluntown","6","0","1","1"
"Wallingford","31","9","8","4"
"Warren","0","0","0","0"
"Washington","8","0","4","0"
