"Municipality *","Warrants with 
Law 
Enforcement 
Actions Noted","Issued Warrants 
For Month","Served Warrants 
 For Month","Warrants 
Foreign Served 
For Month"
"Salem","16","1","0","0"
"Salisbury","9","0","1","1"
"Scotland","3","0","0","0"
"Seymour","46","3","1","1"
"Sharon","6","0","0","0"
"Shelton","48","3","6","4"
"Sherman","8","0","0","0"
"Simsbury","22","0","1","0"
"Somers","12","2","2","2"
"South Windsor","18","2","9","9"
"Southbury","17","1","6","3"
"Southington","62","5","10","8"
"Sprague","12","2","5","4"
"Stafford","62","4","5","3"
"Stamford","530","22","45","19"
"Sterling","14","1","0","0"
"Stonington","38","3","9","7"
"Stratford","63","13","32","17"
"Suffield","18","1","0","0"
"Thomaston","9","1","2","1"
"Thompson","43","2","2","0"
"Tolland","30","2","3","1"
"Torrington","180","22","42","16"
"Trumbull","37","6","0","0"
"Union","2","0","0","0"
"Vernon","106","13","16","9"
"Voluntown","6","1","0","0"
"Wallingford","28","13","9","4"
"Warren","0","0","0","0"
"Washington","9","0","3","0"
