"Municipality *","Warrants with 
Law 
Enforcement 
Actions Noted","Issued Warrants 
For Month","Served Warrants 
 For Month","Warrants 
Foreign Served 
For Month"
"Salem","11","0","0","0"
"Salisbury","9","0","3","2"
"Scotland","4","0","0","0"
"Seymour","47","8","6","3"
"Sharon","5","0","0","0"
"Shelton","55","12","11","8"
"Sherman","5","0","0","0"
"Simsbury","27","1","3","0"
"Somers","11","0","3","1"
"South Windsor","20","4","4","3"
"Southbury","20","2","1","1"
"Southington","62","3","12","5"
"Sprague","12","3","0","0"
"Stafford","60","5","2","1"
"Stamford","522","47","49","16"
"Sterling","14","0","2","0"
"Stonington","38","5","3","2"
"Stratford","66","19","25","15"
"Suffield","17","1","1","0"
"Thomaston","10","2","2","2"
"Thompson","47","2","6","5"
"Tolland","28","0","1","1"
"Torrington","183","25","47","21"
"Trumbull","35","2","3","0"
"Union","2","0","0","0"
"Vernon","105","12","15","10"
"Voluntown","6","1","0","0"
"Wallingford","28","5","13","8"
"Warren","0","0","0","0"
"Washington","12","0","0","0"
