"Municipality *","Warrants with 
Law 
Enforcement 
Actions Noted","Issued Warrants 
For Month","Served Warrants 
 For Month","Warrants 
Foreign Served 
For Month"
"Salem","13","1","5","5"
"Salisbury","8","1","0","0"
"Scotland","3","0","1","1"
"Seymour","43","6","11","6"
"Sharon","3","0","2","1"
"Shelton","44","14","16","12"
"Sherman","4","0","1","0"
"Simsbury","22","1","0","0"
"Somers","14","5","0","0"
"South Windsor","16","3","4","4"
"Southbury","16","0","2","1"
"Southington","66","11","10","5"
"Sprague","11","1","3","0"
"Stafford","58","0","8","3"
"Stamford","531","50","70","22"
"Sterling","13","0","0","0"
"Stonington","38","3","6","6"
"Stratford","61","10","37","22"
"Suffield","19","3","0","0"
"Thomaston","9","1","2","1"
"Thompson","40","2","2","1"
"Tolland","30","1","3","0"
"Torrington","154","9","44","19"
"Trumbull","35","3","4","4"
"Union","2","0","0","0"
"Vernon","97","14","16","10"
"Voluntown","5","0","1","1"
"Wallingford","28","8","8","6"
"Warren","0","0","0","0"
"Washington","9","0","3","0"
