"Municipality *","Warrants with 
Law 
Enforcement 
Actions Noted","Issued Warrants 
For Month","Served Warrants 
 For Month","Warrants 
Foreign Served 
For Month"
"Salem","15","2","0","0"
"Salisbury","9","2","0","0"
"Scotland","3","0","2","0"
"Seymour","45","5","9","7"
"Sharon","6","1","0","0"
"Shelton","48","10","26","21"
"Sherman","8","1","0","0"
"Simsbury","22","1","3","3"
"Somers","12","0","1","0"
"South Windsor","19","4","5","5"
"Southbury","20","4","1","1"
"Southington","62","5","15","11"
"Sprague","12","1","5","3"
"Stafford","60","4","15","8"
"Stamford","526","53","53","25"
"Sterling","14","0","1","1"
"Stonington","38","2","6","1"
"Stratford","68","17","40","23"
"Suffield","18","3","4","3"
"Thomaston","9","0","7","5"
"Thompson","44","6","1","0"
"Tolland","29","3","1","1"
"Torrington","181","20","50","22"
"Trumbull","35","5","4","4"
"Union","2","0","0","0"
"Vernon","105","12","21","6"
"Voluntown","6","0","1","1"
"Wallingford","31","9","6","4"
"Warren","0","0","0","0"
"Washington","9","1","0","0"
