"Municipality *","Warrants with 
Law 
Enforcement 
Actions Noted","Issued Warrants 
For Month","Served Warrants 
 For Month","Warrants 
Foreign Served 
For Month"
"Salem","11","0","3","0"
"Salisbury","9","0","2","0"
"Scotland","1","0","0","0"
"Seymour","49","4","12","8"
"Sharon","5","0","0","0"
"Shelton","51","8","10","5"
"Sherman","5","0","1","0"
"Simsbury","21","3","0","0"
"Somers","11","1","1","1"
"South Windsor","23","2","7","5"
"Southbury","15","3","5","4"
"Southington","67","13","10","8"
"Sprague","12","1","1","0"
"Stafford","63","5","8","3"
"Stamford","508","21","54","16"
"Sterling","14","1","1","0"
"Stonington","38","0","1","0"
"Stratford","63","20","26","12"
"Suffield","17","1","0","0"
"Thomaston","10","1","9","4"
"Thompson","47","1","6","2"
"Tolland","29","2","0","0"
"Torrington","198","23","71","25"
"Trumbull","34","3","3","3"
"Union","2","0","0","0"
"Vernon","106","12","15","11"
"Voluntown","6","2","0","0"
"Wallingford","28","13","14","11"
"Warren","0","0","0","0"
"Washington","12","0","2","2"
