"Municipality *","Warrants with 
Law 
Enforcement 
Actions Noted","Issued Warrants 
For Month","Served Warrants 
 For Month","Warrants 
Foreign Served 
For Month"
"Salem","13","0","1","1"
"Salisbury","7","0","0","0"
"Scotland","3","0","0","0"
"Seymour","43","9","5","4"
"Sharon","3","0","0","0"
"Shelton","45","10","7","4"
"Sherman","4","0","0","0"
"Simsbury","21","1","1","0"
"Somers","12","1","1","1"
"South Windsor","16","1","2","0"
"Southbury","20","5","3","2"
"Southington","62","10","9","1"
"Sprague","11","1","2","1"
"Stafford","61","3","0","0"
"Stamford","545","39","60","19"
"Sterling","13","0","2","1"
"Stonington","29","9","3","3"
"Stratford","63","24","31","22"
"Suffield","17","0","6","1"
"Thomaston","8","4","2","2"
"Thompson","40","1","8","4"
"Tolland","30","0","5","1"
"Torrington","162","28","43","23"
"Trumbull","39","2","5","3"
"Union","2","0","1","1"
"Vernon","97","9","19","7"
"Voluntown","5","0","0","0"
"Wallingford","24","11","12","10"
"Warren","0","0","0","0"
"Washington","10","4","0","0"
