"Municipality *","Warrants with 
Law 
Enforcement 
Actions Noted","Issued Warrants 
For Month","Served Warrants  
For Month","Warrants 
Foreign Served 
For Month"
"Salem","4","1","0","0"
"Salisbury","12","0","1","1"
"Scotland","1","0","0","0"
"Seymour","36","9","6","4"
"Sharon","4","0","0","0"
"Shelton","41","10","8","6"
"Sherman","7","0","1","1"
"Simsbury","24","3","1","1"
"Somers","11","3","2","1"
"South Windsor","16","4","10","5"
"Southbury","17","1","1","1"
"Southington","101","16","14","5"
"Sprague","22","4","4","3"
"Stafford","49","0","4","2"
"Stamford","300","52","56","20"
"Sterling","15","0","6","1"
"Stonington","49","4","4","1"
"Stratford","43","23","24","9"
"Suffield","22","0","3","0"
"Thomaston","8","0","6","4"
"Thompson","35","3","12","2"
"Tolland","17","3","5","1"
"Torrington","159","23","49","32"
"Trumbull","30","10","7","3"
"Union","3","0","0","0"
"Vernon","108","8","18","8"
"Voluntown","9","1","0","0"
"Wallingford","34","11","23","18"
"Warren","2","0","1","1"
"Washington","7","0","0","0"
